id,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage,device_timestamp,server_timestamp
1750602359_1276,796,0.641,3442,2.773,600786,"2025-06-22 14:25:59"
1750602364_1458,802,0.646,3440,2.771,606013,"2025-06-22 14:26:04"
1750602370_1598,818,0.659,3430,2.763,611239,"2025-06-22 14:26:10"
1750602375_3314,839,0.676,3470,2.796,616465,"2025-06-22 14:26:15"
1750602380_8538,819,0.66,3451,2.78,621692,"2025-06-22 14:26:20"
1750602385_6368,840,0.677,3470,2.796,626918,"2025-06-22 14:26:25"
1750602391_3578,849,0.684,3477,2.801,632145,"2025-06-22 14:26:31"
1750602396_6822,856,0.69,3453,2.782,637371,"2025-06-22 14:26:36"
1750602401_1781,856,0.69,3448,2.778,642598,"2025-06-22 14:26:41"
1750602406_4635,858,0.691,3448,2.778,647824,"2025-06-22 14:26:46"
1750602411_1278,856,0.69,3467,2.793,653051,"2025-06-22 14:26:51"
1750602417_2861,868,0.699,3458,2.786,658277,"2025-06-22 14:26:57"
1750602422_3233,876,0.706,3473,2.798,663504,"2025-06-22 14:27:02"
1750602427_6192,884,0.712,3521,2.837,668730,"2025-06-22 14:27:07"
1750602432_4236,899,0.724,3483,2.806,673957,"2025-06-22 14:27:12"
1750602438_4957,917,0.739,3212,2.588,679183,"2025-06-22 14:27:18"
1750602443_2213,951,0.766,3421,2.756,684409,"2025-06-22 14:27:23"
1750602448_4694,1175,0.947,3766,3.034,689636,"2025-06-22 14:27:28"
1750602453_1402,1160,0.935,3752,3.023,694863,"2025-06-22 14:27:33"
1750602458_3449,1169,0.942,3757,3.027,700089,"2025-06-22 14:27:38"
1750602464_8985,963,0.776,3531,2.845,705316,"2025-06-22 14:27:44"
1750602469_9523,969,0.781,3545,2.856,710542,"2025-06-22 14:27:49"
1750602474_4057,978,0.788,3562,2.87,715769,"2025-06-22 14:27:54"
1750602479_7229,1002,0.807,3576,2.881,720995,"2025-06-22 14:27:59"
1750602485_9724,1003,0.808,3560,2.868,726222,"2025-06-22 14:28:05"
1750602490_5884,1190,0.959,3758,3.028,731449,"2025-06-22 14:28:10"
1750602495_7504,1181,0.951,3750,3.021,736675,"2025-06-22 14:28:15"
1750602500_6727,1249,1.006,3842,3.095,741902,"2025-06-22 14:28:20"
1750602506_8550,1040,0.838,3602,2.902,747128,"2025-06-22 14:28:26"
1750602511_4950,1013,0.816,3570,2.876,752355,"2025-06-22 14:28:31"
1750602516_9997,1168,0.941,3716,2.994,757581,"2025-06-22 14:28:36"
1750602521_3464,595,0.479,2208,1.779,762807,"2025-06-22 14:28:41"
1750602526_9843,584,0.471,3033,2.444,768034,"2025-06-22 14:28:46"
1750602532_6011,572,0.461,2964,2.388,773260,"2025-06-22 14:28:52"
1750602537_6518,553,0.446,2799,2.255,778486,"2025-06-22 14:28:57"
1750602542_5977,566,0.456,2257,1.818,783713,"2025-06-22 14:29:02"
1750602547_5421,581,0.468,2889,2.328,788939,"2025-06-22 14:29:07"
1750602553_4160,592,0.477,2012,1.621,794165,"2025-06-22 14:29:13"
1750602558_1811,570,0.459,2626,2.116,799391,"2025-06-22 14:29:18"
1750602563_6747,454,0.366,2579,2.078,804618,"2025-06-22 14:29:23"
1750602568_2642,443,0.357,255,0.205,809844,"2025-06-22 14:29:28"
1750602573_9700,483,0.389,2524,2.033,815070,"2025-06-22 14:29:33"
1750602579_1323,447,0.36,2958,2.383,820297,"2025-06-22 14:29:39"
1750602584_8851,443,0.357,2907,2.342,825523,"2025-06-22 14:29:44"
1750602589_5893,420,0.338,2931,2.361,830749,"2025-06-22 14:29:49"
1750602594_3633,415,0.334,2829,2.279,835975,"2025-06-22 14:29:54"
1750602600_6791,428,0.345,2841,2.289,841202,"2025-06-22 14:30:00"
1750602605_9864,432,0.348,2895,2.332,846428,"2025-06-22 14:30:05"
1750602610_8250,427,0.344,2936,2.365,851654,"2025-06-22 14:30:10"
1750602615_4690,408,0.329,2961,2.386,856881,"2025-06-22 14:30:15"
1750602620_3798,414,0.334,2968,2.391,862107,"2025-06-22 14:30:20"
1750602626_3964,426,0.343,2911,2.345,867333,"2025-06-22 14:30:26"
1750602631_5293,426,0.343,2947,2.374,872559,"2025-06-22 14:30:31"
1750602636_1153,397,0.32,2929,2.36,877786,"2025-06-22 14:30:36"
1750602641_3248,419,0.338,2938,2.367,883012,"2025-06-22 14:30:41"
1750602647_6361,426,0.343,2938,2.367,888238,"2025-06-22 14:30:47"
1750602652_8521,408,0.329,2941,2.369,893465,"2025-06-22 14:30:52"
